site;title;company;date_posted;job_type;skills;level;job_group;workplace;city;state;country;city_state;experience;education;programming_languages;languages
indeed;Business Intelligence Developer / Analyst - Remote, Latin America;Bluelight Consulting;8/03/2026;fulltime;CSS, JavaScript, Agile, React, SSIS, SQL, DAX, SSAS, Tableau, R, Power BI, Azure, SSRS, AWS;Mid-Level;Business Intelligence;Remote;Cusco;CUS;PE;Cusco,CUS;2;Bachelor;SQL, R, JavaScript, CSS, DAX;English
indeed;Senior Business Intelligence;Bluelight Consulting;8/03/2026;fulltime;Python, SQL, Looker, Excel, Power BI;Senior;Business Intelligence;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;English
indeed;Senior Data Engineer (Celonis / Microsoft Fabric) - 100% Remote;Bertoni Solutions;6/03/2026;fulltime;SQL, ERP, Fabric, Power BI, , Azure;Senior;Data Engineer;Hybrid;Santiago de Surco;LIM;PE;Santiago de Surco,LIM;5;Bachelor;SQL;Spanish, English
indeed;3PL Logistics Data Analyst (Remote) | LATAM;HireHawk;5/03/2026;fulltime;Excel,SQL,Power BI,Data Visualization;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima,LIM;5;Bachelor;;English
indeed;SSC Master Data / Pre-Qualification Analyst;Millicom;5/03/2026;fulltime;Agile, Excel, Power BI, , Master;Mid-Level;Data Analyst;Hybrid;El Salvador;LIM;PE;El Salvador,LLI;2;Master;;Spanish, English
indeed;Analista de Data Ecommerce;Entel;4/03/2026;fulltime;Python, SQL, Looker, Excel, Power BI;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;Spanish
indeed;(Associate) Investment Officer, Infrastructure, Peru, Bolivia and Ecuador;World Bank Group;4/03/2026;fulltime;Excel,SQL,Power BI,Data Visualization;Mid-Level;Business Intelligence;Hybrid;Lima;LIM;PE;Lima,LIM;3;Master;;Spanish, English
indeed;Help Desk Support Analyst;SoftwareOne;4/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;2;Bachelor;;Spanish
indeed;Analista de Riesgos - Data;InterBank;2/03/2026;fulltime;SQL, Power BI, Python;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;Spanish
indeed;Customer Success Analyst;OHS;27/02/2026;fulltime;Power BI, Google Sheets, Excel, Jira;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;;Spanish
indeed;Sr. Trade Mkt Analyst;Kimberly-Clark;26/02/2026;fulltime;Power BI, Google Sheets, Excel, Jira;Senior;Data Analyst;Hybrid;Lima;LIM;PE;Lima,LIM;3;Bachelor;;Spanish, English
indeed;Customer Success Analyst;Connfidencial;26/02/2026;fulltime;Power BI, Google Sheets, Excel, Jira;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima,LIM;0;Bachelor;;Spanish, English
indeed;Practicante - Data Analysis;HAKUTOURS;25/02/2026;fulltime;Excel,SQL,Power BI,Data Visualization;Junior;Data Analyst;On Site;Miraflores;LIM;PE;Miraflores,LIM;0;Bachelor;;Spanish
indeed;Analyst, Visa Consulting and Analytics (VCA) Core Consulting;Visa;25/02/2026;fulltime;Excel,  MBA, Master;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima,LIM;2;MBA;;Spanish, English
indeed;Growth data analyst, B2C;AUNA Accesos;24/02/2026;fulltime;Power BI, Looker;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;;Spanish
indeed;QA Data Analyst;Perú Apps & Moventi;23/02/2026;fulltime;Azure, SQL, Databricks, GitHub;Mid-Level;Data Analyst;On Site;San Isidro;LIM;PE;San Isidro,LIM;0;Bachelor;SQL;Spanish
indeed;SR. DATA ANALYST;Praxis Mexico;20/02/2026;fulltime;Python, Spark, SQL, Excel, Power BI, Azure, Databricks;Senior;Data Analyst;On Site;San Isidro;LIM;PE;San Isidro,LIM;0;Bachelor;Python, SQL;Spanish
indeed;Supply Planning Export Analyst;Mondel?z International;19/02/2026;fulltime;Power BI, SAP, Excel;Mid-Level;Business Intelligence;Hybrid;Lima;LIM;PE;Lima,LIM;0;Bachelor;;Spanish, English
indeed;Software Analyst - Associate / ETRM;PCI Energy Solutions;19/02/2026;fulltime;Python, Agile, React, SQL, ;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;Spanish, English
indeed;Data Analyst;Infosys;18/02/2026;fulltime;Office, Power BI, Jira;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;;Spanish
indeed;Data Analyst Senior;S.A.C.I. Falabella;16/02/2026;fulltime;SQL, Python, Looker, Excel;Senior;Data Analyst;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;English
indeed;Data Analyst;S.A.C.I. Falabella;16/02/2026;fulltime;SQL, Python, Looker;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;English
indeed;DataOps Analyst;CREDICORP CAPITAL;12/02/2026;fulltime;SQL, DAX, SAP, , Excel, Salesforce, Power BI, , Power Automate, Power Pivot, Power Query, VBA;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;SQL, DAX;English
indeed;After Sales Sr Analyst;Newell Brands;11/02/2026;fulltime;SQL, DAX, SAP, , Excel, Salesforce, Power BI, , Power Automate, Power Pivot, Power Query, VBA;Senior;Data Analyst;Remote;Lima;LIM;PE;Lima,LIM;2;Bachelor;SQL, DAX;English
indeed;Business Intelligence;Siemens Energy;11/02/2026;fulltime;CMA, SAP, CPA, MBA, Master;Mid-Level;Business Intelligence;On Site;Lima;LIM;PE;Lima,LIM;0;MBA;;Spanish
indeed;BI Developer;Learntastic;10/02/2026;fulltime;Snowflake, SQL, ERP, Power BI, Azure, AWS;Mid-Level;Business Intelligence;Remote;Lima;LIM;PE;Lima,LIM;3;Bachelor;SQL;English
indeed;Service Designer - Sr. Analyst;CREDICORP CAPITAL;6/02/2026;fulltime;Artificial Intelligence;Senior;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;;Spanish
indeed;KYC Quality Control Analyst;eClerx;3/02/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima,LIM;6;Bachelor;;Spanish, English
indeed;KYC Analyst;eClerx;3/02/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima,LIM;4;Bachelor;;English
indeed;Operations Quality Team Leader;Atlas Technica;30/01/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Lead;Data Analyst;Remote;El Salvador;LIM;PE;El Salvador,LLI;1;Bachelor;;English
indeed;Data Scientist;JOYIT;2/03/2026;fulltime;Python, SciKit, SQL, NumPy, Tableau, Power BI, Pandas, Machine Learning, Azure, Tensor Flow, AWS;Mid-Level;Data Scientist;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;English
indeed;Data Scientist Especialista;Entel;27/02/2026;fulltime;SQL, Python;Mid-Level;Data Scientist;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;English
indeed;Senior Database Engineer;Definable Solutions;17/02/2026;fulltime;Python, Spark, C#, SQL, , AWS;Senior;Data Engineer;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL, C#;English
indeed;Data Scientist;IDT Corporation;13/02/2026;fulltime;Python, SciKit, Artificial Intelligence, SQL, Tableau, , Pandas;Mid-Level;Data Scientist;Remote;Lima;LIM;PE;Lima,LIM;3;Bachelor;Python, SQL;English
indeed;Data Scientist;CREDICORP CAPITAL;11/02/2026;fulltime;Python, SQL, Power BI, Azure, Databricks;Mid-Level;Data Scientist;Hybrid;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;Spanish, English
indeed;Data Engineer (Semi Senior / Senior);Amaris Consulting;5/03/2026;fulltime;Spark, Airflow, SQL, Google Cloud, Azure, Databricks, AWS;Senior;Data Engineer;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;SQL;Spanish
indeed;Data Engineer AWS;ZAT;2/03/2026;fulltime;SQL, DAX, AWS, Power BI;Mid-Level;Data Engineer;Remote;Miraflores;LIM;PE;Miraflores,LIM;0;Bachelor;SQL, DAX;English
indeed;Data Engineer;JOYIT;2/03/2026;fulltime;Python, Spark, Airflow, SQL, Docker, Azure, AWS;Mid-Level;Data Engineer;Remote;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;English
indeed;Administrador de Base de datos (Cloud) - Multicloud Database Operation Specialist;Soluciones Orion;23/02/2026;fulltime;SQL, Oracle, Google Cloud, Azure, MongoDB, AWS;Mid-Level;Data Engineer;Remote;Miraflores;LIM;PE;Miraflores,LIM;0;Bachelor;SQL;English
indeed;Cloud Platform Operations Engineer SR.;Millicom;19/02/2026;fulltime;Python,SQL,Azure,Data Pipelines;Senior;Data Engineer;Remote;El Salvador;LIM;PE;El Salvador,LLI;5;Bachelor;;English
indeed;Especialista Data Engineer;Entel;28/01/2026;fulltime;Python, Spark, SQL, Azure, AWS;Mid-Level;Data Engineer;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;Spanish
indeed;Especialista Data Strategist;Entel;28/01/2026;fulltime;Python, Spark, SQL, Azure, Databricks, AWS;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima,LIM;0;Bachelor;Python, SQL;Spanish, English
indeed;IT Infrastructure Services Analyst Senior;Scotiabank;4/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Senior;Data Engineer;On Site;San Isidro;LIM;PE;San Isidro,LIM;0;Bachelor;;Spanish
indeed;Analyst, Accreditation;Metso;4/03/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima,LIM;0;Bachelor;;Spanish
